name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
ashish.sah1857,8.848894828,95,5,4.6,4.8
jagritilakhani28,8.203690678,103,4.8,4.8,4.8
dkazi808,7.001146,126,4.3,5.3,4.8
patilvaibhav262,3.08176835,194,2.4,7.2,4.8
pvikas.mech,9.760617761,79,5.4,4.1,4.75
ashutoshsingh831,8.111339436,104,4.7,4.8,4.75
03081996s,6.696308986,124,4.2,5.3,4.75
kpagaje95,5.771364345,140,3.8,5.7,4.75
souravdhua1997,13.79984808,43,6.8,2.5,4.65
ritikbandewar01,10.67327923,67,5.6,3.7,4.65
akhil703690,8.104295346,97,4.7,4.6,4.65
arunkumaryd14,7.484507551,100,4.5,4.7,4.6
govind_anil001,8.50880345,74,4.9,4,4.45
dshivu143,9.91302589,58,5.5,3.3,4.4
mhaske985,7.876465398,82,4.6,4.2,4.4
mohdquadir45,7.101878133,84,4.4,4.3,4.35
rahulbharuka5,6.444740346,95,4.1,4.5,4.3
greatadityasingh,4.230652087,139,3,5.6,4.3
jkalamegham,9.436014956,59,5.2,3.3,4.25
tej7272,7.006078012,81,4.3,4.2,4.25
sitanshu95,6.225296443,90,4.1,4.4,4.25
guptapradyum,5.749738562,101,3.8,4.7,4.25
pattnaik.chiranjeevi31,3.606272229,145,2.6,5.9,4.25
iamkarthik124,11.76687926,38,6,2.4,4.2
ravichaudhary678,9.701180138,56,5.3,3.1,4.2
adnanchaudhary99,5.975837785,89,4,4.4,4.2
kmranupama,5.861386139,92,3.9,4.5,4.2
anushabpgowda20,5.838856293,92,3.9,4.5,4.2
niligyl999,7.223896721,73,4.4,3.9,4.15
rashinagwanshi11,5.992234649,86,4,4.3,4.15
ittansiddharth,8,64,4.7,3.5,4.1
prathmeshainapure97,7.935255654,62,4.7,3.4,4.05
shaikhsabih9,5.869013088,83,3.9,4.2,4.05
gaurav1933gr,4.308597075,116,3,5.1,4.05
anvithabollampally129,2.389210681,148,2.1,6,4.05
ankeshrajput9f,6.212451404,71,4.1,3.9,4
sairamaragonda,5.741492994,83,3.8,4.2,4
akankshadwivedi253,3.388319932,129,2.6,5.4,4
anurag.pk97,6.829197504,65,4.3,3.6,3.95
prerna.nirmal.58,5.092474729,90,3.5,4.4,3.95
manishbbmy,4.631637312,101,3.2,4.7,3.95
djharshraj,4.923356749,89,3.4,4.4,3.9
zehradoll,7.68683274,60,4.5,3.3,3.9
anandbahirat625,7.034953291,62,4.3,3.5,3.9
aniljnvbhind5,5.847682544,69,3.9,3.8,3.85
amanjha1711,5.408789636,75,3.6,4.1,3.85
saheelcool777,4.114472991,104,2.9,4.8,3.85
singhnamit83,6.492687093,61,4.2,3.4,3.8
abhilashshinde1299,5.723852832,69,3.8,3.8,3.8
akshay.120995,5.649427556,70,3.7,3.9,3.8
asadullahs999,4.889569257,83,3.3,4.3,3.8
akshuchougule0876,8.371879776,44,4.8,2.7,3.75
svraut96,4.961195794,76,3.4,4.1,3.75
kumarianmol244,6.564461454,56,4.2,3.1,3.65
prasaddubbewar,4.905257124,74,3.3,4,3.65
jayantvyas47,6.811613475,55,4.2,3,3.6
igaurav1002,5.448098064,66,3.6,3.6,3.6
pratiksarak7,5.231304514,66,3.6,3.6,3.6
